QualityOfLifeKey,"Unemployment, male (% of male labor force)","Unemployment, female (% of female labor force)","People using at least basic drinking water services, rural (% of rural population)","People using at least basic drinking water services, urban (% of urban population)","People using at least basic sanitation services, rural (% of rural population)","People using at least basic sanitation services, urban  (% of urban population)","People using safely managed drinking water services, rural (% of rural population)","People using safely managed drinking water services, urban (% of urban population)","People using safely managed sanitation services, rural (% of rural population)","People using safely managed sanitation services, urban  (% of urban population)","People practicing open defecation, rural (% of rural population)","People practicing open defecation, urban (% of urban population)",Maternal leave benefits (% of wages paid in covered period),Pregnant women receiving prenatal care (%)
2056,7.543000221,12.64900017,81.18943673,99.32533308,73.61390644,89.63221455,37.60513342,81.29444811,,15.64815648,17.77622651,1.141214134,,
2057,7.066999912,11.66499996,81.88431776,99.43346545,74.93407338,90.39720793,37.93017541,81.22169096,,15.76664109,16.96548257,1.073526478,100,
2058,6.714000225,11.02000046,82.5790808,99.54159188,76.2617028,91.16395883,38.25521739,81.14856958,,15.88521843,16.15473863,1.005838822,,
2059,6.361000061,10.84200001,83.27372585,99.64971237,77.59679471,91.93246724,38.58025938,81.07508398,,16.0038885,15.3439947,0.938151166,100,97.5
2060,6.775000095,11.20100021,83.96825291,99.75782692,78.93934911,92.70273316,38.90530137,81.00123415,,16.1226513,14.53325076,0.870463509,,97.2
2061,6.864999771,11.50199986,84.66266198,99.82758845,80.28936598,93.4747566,39.23034336,80.89594528,,16.24150682,13.72250682,0.802775853,100,
2062,7.090000153,11.79100037,85.36413226,99.9381928,81.64684535,94.24853755,39.55538535,80.82128693,,16.36045507,12.91176289,0.735088197,,
2063,7.879000187,12.74800014,86.06560254,99.9381928,83.0117872,95.02407601,39.88042733,80.65699961,,16.47949605,12.10101895,0.667400541,,
2064,12.22999954,19.04000092,86.76707282,99.9381928,84.38419153,95.80137199,40.20546932,80.4927123,,16.59862976,11.29027502,0.599712884,,
2065,6.765999794,10.03999996,70.56315099,91.15220456,34.98567467,66.12732578,,,,,37.137722,11.31019562,,88.6
2066,6.581999779,9.279000282,71.57375745,91.5808267,37.53130003,67.69860837,,,,,35.4054939,10.70566745,,90.38
2067,6.946000099,9.904000282,72.58351004,92.00953919,40.13927184,69.28827512,,,,,33.67326579,10.10113929,,93.3
2068,6.663000107,8.104000092,73.59240874,92.43834203,42.80959012,70.89632605,,,,,31.94103769,9.496611123,,92.65
2069,5.743999958,6.704999924,74.60045358,92.86723523,45.54225487,72.52276113,,,,,30.20880959,8.892082959,100,94.51
2070,5.127999783,6.388000011,75.60764453,93.29621877,48.33726608,74.16758038,,,,,28.47658149,8.287554795,,92.7
2071,4.894999981,5.56400013,76.61398162,93.72529267,51.19462376,75.8307838,,,,,26.74435339,7.683026631,100,
2072,4.275000095,4.785999775,77.61946482,94.15445691,54.1143279,77.51237138,,,,,25.01212529,7.078498466,,95.7
2073,4.381999969,4.271999836,78.62409415,94.58371151,57.0963785,79.21234312,,,,,23.27989718,6.473970302,100,95.4
2074,4.152999878,3.881999969,79.62786961,95.01305646,60.14077557,80.93069903,,,,,21.54766908,5.869442138,,
2075,4.563000202,4.422999859,80.63079119,95.44249176,63.24751911,82.6674391,,,,,19.81544098,5.264913974,100,
2076,4.568999767,3.868999958,81.6328589,95.87201741,66.41660911,84.42256334,,,,,18.08321288,4.660385809,,
2077,4.059000015,3.598999977,82.63407273,96.30163341,69.64804557,86.19607174,,,,,16.35098478,4.055857645,100,97.5
2078,4.540999889,4.181000233,83.63443268,96.73133976,72.9418285,87.98796431,,,,,14.61875668,3.451329481,,
2079,3.798000097,3.34800005,84.63393876,97.16113646,76.29795789,89.79824104,,,,,12.88652858,2.846801316,,
2080,4.606999874,3.778000116,85.66796238,97.58051207,79.71643375,91.62690193,,,,,11.15430047,2.242273152,,
2081,3.368000031,3.90899992,81.80368497,96.60292525,62.36085428,87.14583541,,,,24.43012309,19.94258519,2.863955603,,
2082,3.388999939,3.890000105,83.2843433,96.89332254,64.00811634,87.59351893,,,,26.58737437,18.64645146,2.679589832,,97.7
2083,3.41899991,4,84.77669523,97.18390312,65.6456319,88.04201393,,,,28.7715528,17.35031773,2.495224062,,
2084,3.779000044,4.028999805,86.21616916,97.47192479,67.27340096,88.49132043,,,,30.98273559,16.054184,2.310858291,,
2085,5.363999844,5.354000092,87.22624414,97.72787166,68.89142351,88.9414384,,,,33.22099999,14.75805027,2.12649252,100,95.8
2086,5.369999886,5.179999828,88.23631912,97.98381853,70.49969957,89.39236786,,,,35.48642321,13.46191653,1.942126749,,
2087,5.191999912,5.131999969,89.2463941,98.23976541,72.09822913,89.84410881,,,,37.77908251,12.1657828,1.757760978,100,
2088,4.894000053,4.883999825,90.25646908,98.49571228,73.6870122,90.29666125,,,,40.0990551,10.86964907,1.573395207,,97.6
2089,4.883999825,4.953999996,91.26654406,98.75165915,75.26604876,90.75002516,,,,42.44641822,9.573515339,1.389029436,100,
2090,4.788000107,4.84800005,92.27661905,99.00760603,76.83533882,91.20420057,,,,44.8212491,8.277381608,1.204663665,,97.2
2091,4.228000164,4.447000027,93.28669403,99.2635529,78.39488239,91.65918746,,,,47.22362496,6.981247876,1.020297894,100,98.5
2092,3.829999924,3.910000086,94.29676901,99.51949977,79.94467945,92.11498583,,,,49.65362305,5.685114145,0.835932124,,
2093,3.312000036,3.601999998,95.30684399,99.77544665,81.48473002,92.57159569,,,,52.1113206,4.388980413,0.651566353,100,
2094,3.188999891,3.428999901,96.31691897,100,83.01503408,93.02901704,,,,54.59679483,3.092846682,0.467200582,,
2095,3.457000017,3.51699996,97.32699395,100,84.53559165,93.48724987,,,,57.11012297,1.79671295,0,,
2096,4.666999817,4.097000122,98.33706893,100,86.04640272,93.94629419,,,,59.65138227,0.500579219,0,,
2097,1.470000029,1.210000038,94.25860849,98.6430911,94.8576119,92.13168884,,,18.85619737,24.14038352,1.288979345,0.183247145,,
2098,1.302999973,1.121999979,94.7204513,98.75090566,95.10963708,92.59600157,,,19.07842114,24.48840887,1.188999265,0,,97.8
2099,1.27699995,1.065999985,95.18234922,98.858673,95.36199367,93.06057801,,,19.30112436,24.83863736,1.089019186,0,,
2100,1.299999952,1.039999962,95.64430226,98.96639312,95.61468166,93.52541817,,,19.52430703,25.19106901,0.989039107,0,,
2101,1.011999965,0.875,96.10631041,99.074066,95.86770106,93.99052203,,,19.74796915,25.5457038,0.889059027,0,100,99.1
