EducationKey,"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)","Primary completion rate, female (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Public spending on education, total (% of GDP)",Ratio of young literate females to males (% ages 15-24),"School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","School enrollment, secondary, female (% gross)","School enrollment, secondary, male (% gross)","School enrollment, tertiary (% gross)"
3075,93.33570862,97.10652161,99.67006683,,,3.583600044,0.999350011,104.4083786,107.42379,86.28914642,85.96482086,33.25072098
3076,93.58692169,97.17443848,99.66880798,,,3.5,0.99970001,103.9080887,107.2158585,86.27207947,83.70189667,35.43735886
3077,,,,100.1938171,101.4215469,2.669980049,,104.1794662,107.5470505,88.15196991,86.02623749,36.44443893
3078,93.99217987,97.33133698,99.70707703,101.6394424,102.9902802,3,0.999790013,104.5897064,108.1328888,90.04093933,87.8429184,36.31103897
3079,,,,,,2.841850042,,,,,,
3080,94.55235291,97.4493103,99.7795105,,,,1.000040054,,,,,
3081,90.21041107,93.1904068,97.63584137,101.5484009,99.62754059,4.845689774,0.999830008,107.5982437,109.5725479,84.03331757,80.5658493,24.21640015
3082,89.8345108,93.90119934,97.8956604,101.6210022,100.1787109,4.699920177,0.995779991,107.0704193,109.2462234,86.24868011,81.9230423,24.79043007
3083,91.35555267,94.44151306,98.15608978,102.5415192,101.3964691,4.690509796,0.999159992,107.6687775,109.8989563,87.52310181,82.3140564,25.42106056
3084,91.45361328,94.59216309,98.38230133,101.7078018,100.8843079,4.82006979,0.999459982,108.3209534,110.4972076,89.55883789,83.34577179,26.11203003
3085,92.11624908,94.91657257,98.5246582,99.93875885,99.71331787,5.187940121,0.997080028,109.5611877,111.5010605,89.39710999,82.55104828,26.58672905
3086,91.85341644,94.38394165,98.43451691,100.4644012,100.0202866,5.159220219,1.001180053,109.8384171,111.4043198,90.38813782,83.83090973,27.56347084
3087,92.33827972,94.78276825,98.4617691,100.240593,100.1556396,5.105649948,1.000910044,109.8900986,111.1703186,91.30687714,85.15087128,28.34149933
3088,93.17923737,95.39163208,98.87541962,106.6098175,105.4295731,5.103099823,1.003119946,109.9152985,110.8946762,93.64716339,87.75827789,29.4718399
3089,92.90393829,95.11210632,98.5644989,109.9265518,108.9388123,4.696050167,1.000759959,109.0077515,109.8597488,95.947052,90.76838684,30.30003929
3090,93.59133911,95.62046814,99.00003815,110.774292,110.2519302,5.257470131,1.001590014,107.7004013,108.2996826,100.0534668,94.69579315,31.0941391
3091,93.48549652,95.54933167,98.94470978,105.0175323,104.805809,5.229420185,1.001430035,106.4718628,106.7350769,104.0937805,97.6499176,31.8190403
3092,93.96852112,95.84481812,99.11620331,104.0164719,103.9240265,4.90681982,1.001829982,106.333168,106.2245789,106.1494064,98.75592041,38.43338013
3093,94.16575623,95.87236786,99.12468719,104.3209686,103.8832779,4.518219948,1.000880003,106.0346909,105.516571,108.219902,100.6593628,40.22895813
3094,94.60804749,96.23290253,99.31845093,102.6292801,101.8975372,4.254429817,1.001410007,105.3607101,104.709877,109.5876083,100.7587128,41.52280045
3095,,,,103.2503433,101.7138596,,,105.1412582,104.191803,109.5373993,99.92178345,42.83069992
3096,94.49513245,96.05874634,99.08241272,,,,1.001790047,,,,,
3097,91.52957153,95.60024261,98.05090332,,,3.93859005,0.996559978,100.451973,103.3285294,75.39940643,71.91062927,44.57695007
3098,,,,,,4.05038023,,100.9951401,102.5926819,76.43924713,71.99159241,44.85783005
3099,,,,,,3.603149891,,100.5780411,102.1417236,82.27754974,76.49421692,49.03480148
3100,,,,,,3.508500099,,100.1184616,101.5024719,82.05029297,76.47559357,48.67156982
3101,,,,,,3.861939907,,98.64668274,99.67275238,83.91191101,77.82634735,49.40269852
3102,96.42704773,96.43502045,96.59757233,,,3.508440018,0.999059975,96.25137329,97.43343353,85.33512115,79.62567139,50.3747406
3103,,,,,,4.805550098,,96.11464691,97.36419678,88.11807251,82.01860809,52.25569916
3104,,,,,,4.536709785,,96.34153748,97.68221283,86.75601196,80.89234161,50.67900848
3105,92.24916077,95.25125885,98.31388092,,,4.1240201,1.006860018,96.30108643,97.50267792,85.72045135,78.44286346,49.85337067
3106,,,,,,3.723560095,,102.9176102,101.347023,123.6061172,117.2103806,50.18006134
3107,91.19193268,94.65911865,98.14662933,,,3.759670019,1.002949953,97.61978912,103.5156784,118.2244492,122.9613037,
3108,,,,,,3.637520075,,100.9833298,100.5444794,118.3756866,118.8638,49.28681183
3109,,,,94.20303345,92.74334717,3.355730057,,99.62143707,99.62841034,114.3785324,118.9719009,
3110,92.42855835,95.20239258,98.13716888,94.13262177,92.74820709,3.056770086,1.009160042,99.77536011,99.77342224,116.5134888,118.9022293,
3111,,,,94.42916107,94.39460754,2.968980074,,101.0075073,101.095253,113.3554764,116.8573837,
3112,,,,95.38324738,94.76141357,,,102.2899017,102.164032,112.3407364,115.1715164,
3113,,,,,,,,101.3106003,102.411377,95.9484787,94.20211029,80.63482666
3114,,,,,,,,,,,,
3115,,,,,,,,,,,,
3116,,,,,,,,,,,,
3117,,,,,,,,,,,,
3118,,,,,,,,,,,,
3119,,,,,,,,,,,,
3120,,,,,,,,,,,,
3121,,,,,,,,99.0333786,99.85974884,96.30905914,96.06963348,88.72641754
3122,,,,,,,,99.50208282,99.83744049,97.51304626,96.36253357,88.6268692
3123,,,,,,,,100.287262,100.3120422,98.17357635,97.15371704,88.88941193
3124,,,,,,,,101.276413,101.4457779,98.47470856,99.05283356,88.83505249
3125,,,,97.16603088,100.4294662,,,101.4219971,102.2044601,98.69555664,99.19851685,88.16738892
3126,,,,95.47634125,104.5101929,,,101.196373,101.3142395,98.79605865,99.73565674,88.29917908
3127,,,,103.3436279,97.75263977,,,101.3437424,100.634079,99.18945313,100.9021225,87.88871002
3128,,,,,,,,,,,,
3129,,,,,,,,95.18296051,100.1351776,,,16.15992928
3130,,,,,,,,96.51410675,99.65516663,,,16.78204918
3131,,,,,,,,98.05821991,101.4278717,,,18.48277092
3132,,,,,,4.886740208,,,,,,19.06382942
3133,91.37908936,95.78533173,97.09166718,,,4.816500187,0.993690014,101.1284103,103.4445114,,,20.23057938
3134,,,,,,5.137219906,,103.1656113,108.0977173,,,22.82085991
3135,,,,,,4.813720226,,104.9546509,109.2903519,,,24.94845009
3136,,,,,,5.533289909,,108.385498,107.1655197,,,25.18672943
3137,,,,100.4501877,99.61006927,5.65199995,,107.5034637,109.2532196,,,25.19178963
3138,,,,109.7989502,104.7374573,,,110.2358627,110.416069,,,30.71549988
3139,,,,105.5515518,104.8048706,4.465760231,,110.1264191,109.6680374,,,29.07345963
3140,,,,106.8896027,105.1122513,4.344810009,,112.0793991,110.4113388,,,28.54496956
3141,,,,,,4.085539818,,110.1537399,108.2464066,,,
3142,,,,111.5494385,108.6373672,4.167449951,,111.8538284,109.4645691,,,
3143,94.56565857,96.99069977,98.62545776,,,4.061970234,0.998269975,116.7245865,114.2806702,,,28.63998032
3144,,,,,,,,118.5654907,115.8973923,,,
